,Location,Area,Bed,Bath,Price
0,"1st Colony, Mirpur, Dhaka",800.0,2.0,2.0,4860000
1,"1st Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
2,"1st Colony, Mirpur, Dhaka",1100.0,3.0,3.0,7200000
3,"1st Colony, Mirpur, Dhaka",1100.0,3.0,3.0,7200000
5,"1st Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
6,"1st Colony, Mirpur, Dhaka",700.0,2.0,2.0,4500000
7,"1st Colony, Mirpur, Dhaka",1600.0,4.0,3.0,9000000
9,"1st Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
10,"1st Colony, Mirpur, Dhaka",650.0,2.0,2.0,3960000
11,"1st Colony, Mirpur, Dhaka",650.0,2.0,2.0,3960000
17,"1st Colony, Mirpur, Dhaka",950.0,2.0,2.0,5040000
18,"1st Colony, Mirpur, Dhaka",1120.0,3.0,3.0,7200000
25,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,3960000
26,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,3960000
27,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
28,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
29,"2nd Colony, Mirpur, Dhaka",650.0,2.0,2.0,3960000
32,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
33,"2nd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3600000
34,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
35,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,3960000
39,"2nd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
40,"2nd Colony, Mirpur, Dhaka",650.0,2.0,2.0,3960000
43,"2nd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3780000
46,"3rd Colony, Mirpur, Dhaka",600.0,2.0,2.0,3780000
47,"3rd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
48,"3rd Colony, Mirpur, Dhaka",750.0,2.0,2.0,4680000
49,"3rd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3780000
50,"3rd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3600000
52,"3rd Colony, Mirpur, Dhaka",700.0,2.0,2.0,4320000
53,"3rd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3600000
54,"3rd Colony, Mirpur, Dhaka",700.0,2.0,2.0,3960000
55,"3rd Colony, Mirpur, Dhaka",600.0,2.0,1.0,3600000
64,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
65,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
66,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
67,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
78,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
79,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
80,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
82,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3420000
85,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3420000
89,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
90,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
93,"Aainusbag, Dakshin Khan, Dhaka",700.0,2.0,2.0,3600000
95,"Aainusbag, Dakshin Khan, Dhaka",1050.0,3.0,3.0,5400000
96,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,1.0,4680000
97,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,4680000
98,"Abdullahbag, Uttar Badda, Badda, Dhaka",750.0,2.0,2.0,4680000
99,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,4680000
100,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,1.0,4680000
101,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,4860000
102,"Abdullahbag, Uttar Badda, Badda, Dhaka",800.0,2.0,2.0,5580000
103,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,5040000
104,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,4860000
111,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,4680000
112,"Abdullahbag, Uttar Badda, Badda, Dhaka",700.0,2.0,2.0,5040000
113,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",600.0,2.0,1.0,3960000
114,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",750.0,2.0,2.0,4680000
115,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",650.0,2.0,2.0,3960000
116,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",900.0,2.0,2.0,5400000
117,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",750.0,2.0,2.0,4680000
118,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",700.0,2.0,2.0,4320000
120,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",950.0,2.0,2.0,5040000
121,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",1050.0,3.0,2.0,6840000
122,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",700.0,2.0,2.0,4320000
123,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",650.0,2.0,2.0,4320000
124,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",600.0,2.0,2.0,3960000
127,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",650.0,2.0,2.0,4500000
128,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",700.0,2.0,2.0,4680000
129,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",750.0,2.0,2.0,4680000
130,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",900.0,3.0,2.0,5760000
131,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",700.0,2.0,2.0,4680000
133,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",650.0,2.0,2.0,4320000
135,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",700.0,2.0,2.0,4500000
136,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",750.0,2.0,2.0,4320000
137,"Adabor, Dhaka",800.0,2.0,2.0,5040000
139,"Adabor, Dhaka",800.0,2.0,2.0,5760000
140,"Adabor, Dhaka",800.0,2.0,2.0,5400000
141,"Adabor, Dhaka",800.0,2.0,2.0,5760000
142,"Adabor, Dhaka",800.0,2.0,2.0,5400000
143,"Adabor, Dhaka",750.0,2.0,2.0,5400000
144,"Adabor, Dhaka",800.0,2.0,2.0,5400000
145,"Adabor, Dhaka",800.0,2.0,2.0,5400000
146,"Adabor, Dhaka",800.0,2.0,2.0,5400000
147,"Adabor, Dhaka",800.0,2.0,2.0,5400000
148,"Adabor, Dhaka",800.0,2.0,2.0,5400000
149,"Adabor, Dhaka",800.0,2.0,2.0,5400000
150,"Adabor, Dhaka",700.0,2.0,2.0,5040000
151,"Adabor, Dhaka",700.0,2.0,2.0,5040000
152,"Adabor, Dhaka",800.0,2.0,2.0,5400000
153,"Adabor, Dhaka",800.0,2.0,2.0,5400000
154,"Adabor, Dhaka",850.0,2.0,2.0,5400000
155,"Adabor, Dhaka",800.0,2.0,2.0,5400000
157,"Adabor, Dhaka",800.0,2.0,2.0,5400000
158,"Adabor, Dhaka",800.0,2.0,2.0,5400000
159,"Adabor, Dhaka",800.0,2.0,2.0,5400000
160,"Adabor, Dhaka",800.0,2.0,2.0,5400000
161,"Adabor, Dhaka",850.0,2.0,2.0,5760000
170,"Adabor, Dhaka",850.0,2.0,2.0,5760000
